area1	b0	b1	b3
0.0	0.00949999969453	0.027499999851	0.0212500002235
0.5	0.0329999998212	0.0792500004172	0.0357500016689
1.0	0.108999997377	0.213499993086	0.0842500030994
1.5	0.217500001192	0.426250010729	0.149250000715
2.0	0.35174998641	0.629750013351	0.248500004411
2.5	0.518000006676	0.803499996662	0.356750011444
3.0	0.647000014782	0.891499996185	0.447750002146
3.5	0.768999993801	0.89050000906	0.556749999523
4.0	0.85925000906	0.796000003815	0.665750026703
4.5	0.898750007153	0.600000023842	0.74975001812
5.0	0.879249989986	0.425000011921	0.808499991894
5.5	0.831250011921	0.214750006795	0.841750025749
6.0	0.728250026703	0.0874999985099	0.851499974728
6.5	0.611500024796	0.0379999987781	0.848249971867
7.0	0.455749988556	0.0879999995232	0.800750017166
7.5	0.319249987602	0.221249997616	0.746249973774
8.0	0.188250005245	0.452499985695	0.626999974251
8.5	0.0857499986887	0.658999979496	0.524749994278
9.0	0.0352500006557	0.807500004768	0.429250001907
9.5	0.0327499993145	0.90750002861	0.29699999094
10.0	0.089500002563	0.87349998951	0.201250001788
10.5	0.177249997854	0.757250010967	0.123999997973
11.0	0.31874999404	0.523750007153	0.0567499995232
11.5	0.464749991894	0.328500002623	0.047499999404
12.0	0.596000015736	0.133000001311	0.047499999404
12.5	0.744499981403	0.0492499992251	0.0939999967813
13.0	0.845749974251	0.0572500005364	0.165000006557
13.5	0.891250014305	0.165999993682	0.250250011683
14.0	0.889750003815	0.384000003338	0.361499994993
14.5	0.830500006676	0.601999998093	0.46875
15.0	0.740750014782	0.759249985218	0.566500008106
15.5	0.614499986172	0.869499981403	0.668500006199
16.0	0.448000013828	0.879499971867	0.760500013828
16.5	0.319000005722	0.792500019073	0.805750012398
17.0	0.180749997497	0.606249988079	0.825999975204
17.5	0.0930000022054	0.423249989748	0.839250028133
18.0	0.0397499985993	0.202749997377	0.817250013351
18.5	0.0469999983907	0.0729999989271	0.753499984741
19.0	0.10625000298	0.0500000007451	0.672749996185
19.5	0.206750005484	0.116499997675	0.614250004292
20.0	0.324000000954	0.31400001049	0.488499999046
20.5	0.493000000715	0.509999990463	0.371499985456
21.0	0.629499971867	0.682250022888	0.255750000477
21.5	0.776499986649	0.840749979019	0.189250007272
22.0	0.848500013351	0.888249993324	0.105999998748
22.5	0.907000005245	0.837750017643	0.073250003159
23.0	0.883750021458	0.694000005722	0.0547499991953
23.5	0.818750023842	0.481000006199	0.0885000005364
24.0	0.723749995232	0.293999999762	0.141000002623
24.5	0.582750022411	0.119249999523	0.204999998212
25.0	0.419999986887	0.0434999987483	0.30625000596
