area1	b0	b1	b3
0.0	0.200249999762	0.0445000007749	0.0815000012517
0.5	0.22650000453	0.0939999967813	0.0869999974966
1.0	0.282249987125	0.223250001669	0.13750000298
1.5	0.399500012398	0.427500009537	0.220500007272
2.0	0.504999995232	0.625500023365	0.297250002623
2.5	0.612249970436	0.785499989986	0.395999997854
3.0	0.738499999046	0.865499973297	0.488499999046
3.5	0.836250007153	0.870000004768	0.553250014782
4.0	0.898249983788	0.761250019073	0.629249989986
4.5	0.934000015259	0.625999987125	0.644749999046
5.0	0.93624997139	0.397249996662	0.642499983311
5.5	0.880500018597	0.231499999762	0.617250025272
6.0	0.814249992371	0.0844999998808	0.569750010967
6.5	0.698000013828	0.0434999987483	0.481249988079
7.0	0.575749993324	0.107500001788	0.39050000906
7.5	0.473250001669	0.243249997497	0.291249990463
8.0	0.36724999547	0.463250011206	0.225500002503
8.5	0.283749997616	0.684750020504	0.148750007153
9.0	0.238000005484	0.833500027657	0.10000000149
9.5	0.237250000238	0.918500006199	0.0832500010729
10.0	0.280250012875	0.894500017166	0.100500002503
10.5	0.366499990225	0.782000005245	0.145249992609
11.0	0.464749991894	0.550249993801	0.210250005126
11.5	0.594749987125	0.355749994516	0.286749988794
12.0	0.715749979019	0.203749999404	0.375750005245
12.5	0.820249974728	0.0925000011921	0.46099999547
13.0	0.910250008106	0.0962499976158	0.550999999046
13.5	0.928499996662	0.198750004172	0.607249975204
14.0	0.929499983788	0.370249986649	0.638999998569
14.5	0.885249972343	0.580749988556	0.650499999523
