area1	b0	b1	b3
0.0	0.0125000001863	0.0217499993742	0.0217499993742
0.5	0.0117499995977	0.0212500002235	0.0390000008047
1.0	0.00774999987334	0.0252500008792	0.0785000026226
1.5	0.00975000020117	0.0264999996871	0.15625
2.0	0.00949999969453	0.0240000002086	0.236499994993
2.5	0.0120000001043	0.0240000002086	0.354750007391
3.0	0.00999999977648	0.0297500006855	0.45300000906
3.5	0.0117499995977	0.0327499993145	0.56375002861
4.0	0.00975000020117	0.0285000000149	0.663500010967
4.5	0.0130000002682	0.0262499991804	0.745999991894
5.0	0.0107500003651	0.035000000149	0.804000020027
5.5	0.0127499997616	0.0342499986291	0.84249997139
6.0	0.00999999977648	0.0287500005215	0.849250018597
6.5	0.0130000002682	0.0317500010133	0.82800000906
7.0	0.0117499995977	0.0352500006557	0.791000008583
7.5	0.0122499996796	0.0340000018477	0.723999977112
8.0	0.00850000046194	0.0335000008345	0.629499971867
8.5	0.00875000003725	0.0329999998212	0.516250014305
9.0	0.00975000020117	0.0302499998361	0.419999986887
9.5	0.0104999998584	0.0297500006855	0.301250010729
