p_sbm3	p_sbm2	p_sbm1	p_sb0	p_sb1	p_sb2	p_sb3	phi	f_sb	c	f_c
-65.8158717656	-55.1562165748	-44.73557102	-61.44515274	-14.6821276734	-53.1401578541	-63.5048616507	-2.03268753832	-0.35	0.0	4.7
-66.7573588787	-47.5812582231	-58.2252633955	-61.1235221231	-15.2283589242	-47.8897645209	-66.3799585615	-2.28761851821	-0.3	-1.0	4.7
-65.4976111611	-43.5925539265	-68.4843406372	-60.9530761102	-14.3903204339	-46.0395952313	-37.7468727675	-2.37691804448	-0.25	-0.0374165648175	4.7
-66.3918666172	-42.1339355377	-56.681227426	-55.7444128062	-13.4019334872	-44.0765634703	-56.686872995	-2.52717854495	-0.2	0.728113613921	4.7
-66.2859909408	-52.1565512506	-58.4011873025	-53.3097342567	-13.2099493334	-51.6999853249	-67.1075232256	3.56835312211	-0.15	-0.663787158626	4.7
-65.1052773102	-61.4033634328	-62.3385923082	-54.8944213441	-12.8321126981	-57.9471515422	-58.3953358158	3.42282163622	-0.1	-0.417996725743	4.7
-64.2424188476	-58.094406913	-60.0221061973	-53.8677803747	-12.4845601394	-56.791577586	-58.5144213241	3.27302859535	-0.05	-0.145898013279	4.7
-13.1630560783	-13.1639609044	-13.1641544928	-13.1637189791	-13.1642727065	-13.1646658731	-13.1654285789	0.343130508425	-5.55111512313e-17	-0.197871374834	4.7
-63.280856084	-57.6214740384	-58.6744026694	-53.2454521873	-12.5920741256	-58.1374009255	-59.8206924607	2.98763342529	0.05	-0.676393212104	4.7
-63.3562568375	-62.2328778897	-61.3399810637	-53.4391905016	-12.8948259783	-61.3639046615	-63.6217438185	2.8268732137	0.1	-0.554007997879	4.7
-63.9344541642	-56.3431657378	-57.8652071614	-51.1810713168	-13.4381933355	-55.4472197763	-61.9474319853	2.66976164761	0.15	0.962857814483	4.7
