p_sbm3	p_sbm2	p_sbm1	p_sb0	p_sb1	p_sb2	p_sb3	phi	f_sb	c	f_c
-58.5822329679	-51.1011835683	-36.662030661	-67.9030377962	-20.6065494754	-60.2262280566	-67.8240585214	1.0	-0.5	0.0	6.1
-58.6234798452	-51.1101709113	-36.6859657561	-67.958501932	-20.5920064812	-60.1832034388	-67.6628103113	1.0	-0.5	0.0	6.1
-62.3989218751	-56.8972104937	-47.4551386076	-69.8898140967	-22.2524732919	-56.084715284	-70.5099932492	1.16436623601	-0.45	0.381966025156	6.1
-55.3995926674	-50.3430506947	-49.3480850205	-69.0047548887	-19.3488809719	-49.6606601179	-70.4803662371	1.08236428331	-0.4	-0.236067974844	6.1
-50.6263353766	-48.9820490408	-61.3859088375	-67.6439663319	-18.3854530879	-48.9517710798	-70.2637519037	1.0	-0.35	0.000233445219974	6.1
-51.094127369	-48.2750447261	-56.9650392485	-66.2082747841	-18.569487302	-46.8955612032	-69.4164580917	0.877471341743	-0.325	0.0	6.1
-46.9409986795	-52.5058509454	-56.3186692268	-64.2810758159	-17.2733101975	-51.7088611882	-60.4144914952	0.800157118459	-0.275	0.0	6.1
-43.43857624	-62.7996361549	-56.6103013807	-60.7942477177	-15.9832434572	-59.1746027714	-53.172331548	0.685641910992	-0.225	0.0	6.1
-41.566967586	-57.9442717202	-62.1030575487	-55.7883258174	-15.301224738	-55.4259986802	-48.8508521506	0.556997567136	-0.175	-0.682253061251	6.1
-41.5988177702	-62.5933354632	-63.1117678785	-53.6953167491	-14.5416518984	-54.5574356751	-50.5786006253	0.426723929954	-0.125	-0.219047715436	6.1
-39.6869122469	-63.0517464485	-51.5889387711	-49.8004541275	-14.2248830348	-53.6659018739	-47.1162547741	0.315301989489	-0.075	0.12509156241	6.1
-41.2131348685	-63.5336354243	-48.5433725896	-48.7458566328	-14.4637067444	-53.8128668207	-46.5962004876	0.227558584197	-0.025	0.691003870698	6.1
-43.8470353462	-66.8726904846	-54.2464444011	-48.6844399612	-14.0436595178	-54.0009210151	-45.4024331534	0.116165242087	0.025	0.931706527048	6.1
-44.7657779614	-70.430955115	-58.1209309794	-49.553089622	-13.8900192196	-56.1361500628	-48.79013382	0.00505252896626	0.075	0.381966025156	6.1
-45.7804447673	-68.140913507	-71.0057251401	-53.5336142396	-14.798779742	-60.8330021991	-49.0781824912	-0.117225522772	0.125	-0.854101940079	6.1
-46.8042053353	-59.8330451934	-52.5901257785	-57.4472331143	-15.3465287296	-70.534538193	-52.6269448212	-0.266399035989	0.175	0.0	6.1
-45.2039199243	-64.3936361834	-51.2969494837	-62.9055960671	-16.2567920361	-68.8933529925	-68.9813557719	-0.404536374881	0.225	0.590986360011	6.1
-49.6652249689	-55.3222046356	-53.5771803803	-66.2492669912	-17.8733333867	-61.0509496759	-60.467029659	-0.562515713624	0.275	0.0	6.1
-47.9669960776	-47.5015222052	-58.8893305333	-68.3031568651	-18.5391659084	-52.905193062	-65.4716614068	-0.618033974844	0.3	0.0	6.1
-55.125489634	-49.1907422945	-70.4398323919	-69.9026620502	-19.4712190904	-55.3570621655	-69.0241119659	-0.68170109473	0.325	-0.00247730442063	6.1
-55.5236100493	-44.0424289951	-66.3787986647	-69.6079483183	-20.4704523972	-50.4963901606	-68.7410380454	-0.746155036028	0.35	-0.00712003913693	6.1
-65.8288793461	-46.1199655561	-46.3560259627	-69.2048106998	-21.1836805696	-51.6091695361	-68.5687125451	-0.891282041154	0.4	0.886355146655	6.1
-65.3958645801	-46.4637112994	-46.4428895499	-69.8359034992	-21.4047136334	-51.5923197209	-68.5915872457	-0.896390849451	0.4	1.0	6.1
-67.6110621364	-52.4505352245	-45.8449445567	-70.5166679327	-23.43663426	-58.3929037615	-70.0520040415	-0.977374981102	0.45	0.889854756882	6.1
-64.3259632366	-55.6286472354	-31.7457466658	-70.172576043	-21.3838238426	-50.4396723196	-66.2871958248	-2.05125862161	0.5	0.0	6.1
-69.9434698068	-68.9256757151	-48.260149827	-70.007832042	-28.7845293154	-68.4035941626	-70.2847715944	-26.3019841175	0.55	0.618034	6.1
-54.9544923803	-44.5618621605	-59.8971918546	-70.4843574317	-20.5493669043	-52.3175118339	-68.5676068164	-0.758756422258	0.344	0.0	6.1
