area	f	b0	b1	b3
5.0	5.78	0.0144999995828	0.0260000005364	0.25775000453
5.0	5.7805	0.0104999998584	0.027499999851	0.278750002384
5.0	5.781	0.00999999977648	0.0242500007153	0.272249996662
5.0	5.7815	0.0127499997616	0.0185000002384	0.306499987841
5.0	5.782	0.0104999998584	0.0272499993443	0.302749991417
5.0	5.7825	0.0132499998435	0.0247499998659	0.331250011921
5.0	5.783	0.00949999969453	0.0292499996722	0.349249988794
5.0	5.7835	0.00999999977648	0.0267500001937	0.347000002861
5.0	5.784	0.0177500005811	0.0292499996722	0.352250009775
5.0	5.7845	0.0149999996647	0.0240000002086	0.35949999094
5.0	5.785	0.0140000004321	0.0254999995232	0.375
5.0	5.7855	0.0107500003651	0.0242500007153	0.400499999523
5.0	5.786	0.0140000004321	0.0205000005662	0.392500013113
5.0	5.7865	0.0144999995828	0.0280000008643	0.422500014305
5.0	5.787	0.0157500002533	0.0250000003725	0.426250010729
5.0	5.7875	0.0132499998435	0.0287500005215	0.446000009775
5.0	5.788	0.0120000001043	0.0264999996871	0.446999996901
5.0	5.7885	0.0157500002533	0.0305000003427	0.466250002384
5.0	5.789	0.016249999404	0.0240000002086	0.463499993086
5.0	5.7895	0.0120000001043	0.0270000007004	0.476249992847
5.0	5.79	0.0130000002682	0.0292499996722	0.493250012398
5.0	5.7905	0.0132499998435	0.0257500000298	0.503499984741
5.0	5.791	0.0127499997616	0.0244999993593	0.524999976158
5.0	5.7915	0.0132499998435	0.0272499993443	0.53250002861
5.0	5.792	0.0130000002682	0.0309999994934	0.546000003815
5.0	5.7925	0.0120000001043	0.027499999851	0.565500020981
5.0	5.793	0.00899999961257	0.0264999996871	0.568000018597
5.0	5.7935	0.0137499999255	0.0257500000298	0.572000026703
5.0	5.794	0.0140000004321	0.0295000001788	0.587999999523
5.0	5.7945	0.0132499998435	0.0267500001937	0.601499974728
5.0	5.795	0.0142500000075	0.0270000007004	0.60949999094
5.0	5.7955	0.0117499995977	0.027499999851	0.633750021458
5.0	5.796	0.0142500000075	0.023749999702	0.633499979973
5.0	5.7965	0.0135000003502	0.0317500010133	0.635249972343
5.0	5.797	0.0137499999255	0.0285000000149	0.654250025749
5.0	5.7975	0.0157500002533	0.0299999993294	0.662999987602
5.0	5.798	0.0109999999404	0.0270000007004	0.685750007629
5.0	5.7985	0.0142500000075	0.0285000000149	0.690249979496
5.0	5.799	0.0109999999404	0.0282499995083	0.708750009537
5.0	5.7995	0.0125000001863	0.0332500003278	0.705500006676
5.0	5.8	0.0102500002831	0.027499999851	0.72000002861
5.0	5.8005	0.0130000002682	0.0267500001937	0.714250028133
5.0	5.801	0.0147500000894	0.0292499996722	0.726750016212
5.0	5.8015	0.00774999987334	0.0362499989569	0.727249979973
5.0	5.802	0.0102500002831	0.035000000149	0.742999970913
5.0	5.8025	0.0102500002831	0.0324999988079	0.752250015736
5.0	5.803	0.00850000046194	0.0247499998659	0.754000008106
5.0	5.8035	0.0125000001863	0.0410000011325	0.770500004292
5.0	5.804	0.011250000447	0.0297500006855	0.773000001907
5.0	5.8045	0.0135000003502	0.0347499996424	0.781750023365
5.0	5.805	0.0109999999404	0.0357500016689	0.788999974728
5.0	5.8055	0.0152500001714	0.0357500016689	0.795000016689
5.0	5.806	0.0102500002831	0.0317500010133	0.788749992847
5.0	5.8065	0.011250000447	0.0327499993145	0.791999995708
5.0	5.807	0.0107500003651	0.0322499983013	0.810249984264
5.0	5.8075	0.0127499997616	0.0375000014901	0.816999971867
5.0	5.808	0.0117499995977	0.0297500006855	0.814750015736
5.0	5.8085	0.0147500000894	0.0359999984503	0.819500029087
5.0	5.809	0.0127499997616	0.0362499989569	0.818000018597
5.0	5.8095	0.0122499996796	0.0335000008345	0.833999991417
5.0	5.81	0.0152500001714	0.0359999984503	0.820500016212
5.0	5.8105	0.0115000000224	0.0322499983013	0.819999992847
5.0	5.811	0.0122499996796	0.0329999998212	0.82800000906
5.0	5.8115	0.0109999999404	0.0372500009835	0.828750014305
5.0	5.812	0.00899999961257	0.035000000149	0.824999988079
5.0	5.8125	0.011250000447	0.0397499985993	0.84224998951
5.0	5.813	0.00899999961257	0.0412500016391	0.836000025272
5.0	5.8135	0.0102500002831	0.0390000008047	0.837000012398
5.0	5.814	0.0115000000224	0.0430000014603	0.838750004768
5.0	5.8145	0.0102500002831	0.0342499986291	0.82674998045
5.0	5.815	0.0102500002831	0.0367499999702	0.818499982357
5.0	5.8155	0.0144999995828	0.0405000001192	0.82800000906
5.0	5.816	0.00899999961257	0.042500000447	0.833000004292
5.0	5.8165	0.00925000011921	0.0355000011623	0.821500003338
5.0	5.817	0.0130000002682	0.0372500009835	0.814999997616
5.0	5.8175	0.0125000001863	0.0377499982715	0.824999988079
5.0	5.818	0.0104999998584	0.0402499996126	0.808000028133
5.0	5.8185	0.00999999977648	0.0417499989271	0.809249997139
5.0	5.819	0.00975000020117	0.0372500009835	0.816500008106
5.0	5.8195	0.0107500003651	0.0392500013113	0.801500022411
5.0	5.82	0.00949999969453	0.0419999994338	0.795000016689
5.0	5.8205	0.00800000037998	0.0434999987483	0.793500006199
5.0	5.821	0.00999999977648	0.0402499996126	0.775499999523
5.0	5.8215	0.0120000001043	0.0379999987781	0.782999992371
5.0	5.822	0.0125000001863	0.0412500016391	0.770500004292
5.0	5.8225	0.0127499997616	0.0439999997616	0.763750016689
5.0	5.823	0.011250000447	0.0357500016689	0.749499976635
5.0	5.8235	0.00925000011921	0.0410000011325	0.745999991894
5.0	5.824	0.0107500003651	0.042500000447	0.750750005245
5.0	5.8245	0.00800000037998	0.0379999987781	0.737249970436
5.0	5.825	0.00925000011921	0.0379999987781	0.727999985218
5.0	5.8255	0.0117499995977	0.035000000149	0.730499982834
5.0	5.826	0.0125000001863	0.0434999987483	0.707499980927
5.0	5.8265	0.00975000020117	0.0352500006557	0.710500001907
5.0	5.827	0.011250000447	0.0399999991059	0.696250021458
5.0	5.8275	0.0120000001043	0.0452499985695	0.677250027657
5.0	5.828	0.0132499998435	0.0372500009835	0.658999979496
5.0	5.8285	0.0107500003651	0.0402499996126	0.675000011921
5.0	5.829	0.0127499997616	0.0427500009537	0.653500020504
5.0	5.8295	0.0082499999553	0.0419999994338	0.645250022411
5.0	5.83	0.0125000001863	0.0405000001192	0.617749989033
5.0	5.8305	0.00949999969453	0.0332500003278	0.627749979496
5.0	5.831	0.00949999969453	0.0372500009835	0.600499987602
5.0	5.8315	0.0115000000224	0.0370000004768	0.587750017643
5.0	5.832	0.0122499996796	0.0392500013113	0.589500010014
5.0	5.8325	0.00800000037998	0.0402499996126	0.582499980927
5.0	5.833	0.00899999961257	0.0372500009835	0.558250010014
5.0	5.8335	0.0109999999404	0.0402499996126	0.534250020981
5.0	5.834	0.00850000046194	0.0324999988079	0.546000003815
5.0	5.8345	0.00850000046194	0.0355000011623	0.528999984264
