frequency	b0	b1	b2	b3	b3fit
6.0	0.68599998951	0.308999985456	0.54699999094	0.563000023365	0.550902702693
6.0005	0.688000023365	0.32800000906	0.555999994278	0.551999986172	0.551044086445
6.001	0.688000023365	0.317999988794	0.541000008583	0.550000011921	0.551227805809
6.0015	0.674000024796	0.305999994278	0.53100001812	0.523000001907	0.551472273937
6.002	0.685000002384	0.298999994993	0.568000018597	0.550999999046	0.551806847675
6.0025	0.677999973297	0.31400001049	0.549000024796	0.549000024796	0.552280366292
6.003	0.683000028133	0.277000010014	0.532999992371	0.578999996185	0.552978132847
6.0035	0.683000028133	0.279000014067	0.54699999094	0.532000005245	0.554057386178
6.004	0.677999973297	0.261000007391	0.523000001907	0.527999997139	0.55582383351
6.0045	0.699000000954	0.314999997616	0.565999984741	0.551999986172	0.558889312729
6.005	0.65600001812	0.305999994278	0.497999995947	0.52999997139	0.564363110518
6.0055	0.671000003815	0.286000013351	0.559000015259	0.573000013828	0.572891791155
6.006	0.681999981403	0.275999993086	0.587000012398	0.575999975204	0.57853861269
